match_date,year,tournament,stage,team_a,team_b,gf_avg_a,ga_avg_a,xgf_avg_a,xga_avg_a,points_avg_a,matches_played_a,gf_avg_b,ga_avg_b,xgf_avg_b,xga_avg_b,points_avg_b,matches_played_b,gf_diff,ga_diff,xgf_diff,xga_diff,form_diff,experience_diff,goals_a,goals_b,xg_a,xg_b
2018-06-14,2018,FIFA World Cup,Group stage,Russia,Saudi Arabia,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,5,0,1.7,0.2
2018-06-15,2018,FIFA World Cup,Group stage,Portugal,Spain,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,3,3,1.2,1.6
2018-06-15,2018,FIFA World Cup,Group stage,Morocco,IR Iran,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.7,1.0
2018-06-15,2018,FIFA World Cup,Group stage,Egypt,Uruguay,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.3,1.6
2018-06-16,2018,FIFA World Cup,Group stage,Croatia,Nigeria,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,1.5,0.7
2018-06-16,2018,FIFA World Cup,Group stage,Peru,Denmark,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.7,1.0
2018-06-16,2018,FIFA World Cup,Group stage,Argentina,Iceland,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,1.9,1.0
2018-06-16,2018,FIFA World Cup,Group stage,France,Australia,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,2,1,1.3,1.0
2018-06-17,2018,FIFA World Cup,Group stage,Costa Rica,Serbia,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.9,0.9
2018-06-17,2018,FIFA World Cup,Group stage,Brazil,Switzerland,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,2.2,0.9
2018-06-17,2018,FIFA World Cup,Group stage,Germany,Mexico,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.4,1.3
2018-06-18,2018,FIFA World Cup,Group stage,Tunisia,England,1.3,1.3,1.3,1.3,1.0,0,1.3,1.3,1.3,1.3,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,2,1.0,2.8
