match_date,year,stage,team_a,team_b,goals_a,goals_b,xg_a,xg_b,host_country,team_a_win,team_b_win,draw
2022-12-18,2022,Final,Argentina,France,3,3,3.3,2.2,Qatar,False,False,True
2022-12-17,2022,Third-place match,Croatia,Morocco,2,1,0.7,1.2,Qatar,True,False,False
2022-12-14,2022,Semi-finals,France,Morocco,2,0,2.0,0.9,Qatar,True,False,False
2022-12-13,2022,Semi-finals,Argentina,Croatia,3,0,2.3,0.5,Qatar,True,False,False
2022-12-10,2022,Quarter-finals,Morocco,Portugal,1,0,1.4,0.9,Qatar,True,False,False
2022-12-10,2022,Quarter-finals,England,France,1,2,2.4,0.9,Qatar,False,True,False
2022-12-09,2022,Quarter-finals,Croatia,Brazil,1,1,0.6,2.5,Qatar,False,False,True
2022-12-09,2022,Quarter-finals,Netherlands,Argentina,2,2,0.6,1.9,Qatar,False,False,True
2022-12-06,2022,Round of 16,Morocco,Spain,0,0,0.7,1.0,Qatar,False,False,True
2022-12-06,2022,Round of 16,Portugal,Switzerland,6,1,2.3,1.2,Qatar,True,False,False
2022-12-05,2022,Round of 16,Japan,Croatia,1,1,1.2,1.4,Qatar,False,False,True
2022-12-05,2022,Round of 16,Brazil,Korea Republic,4,1,3.6,0.5,Qatar,True,False,False
2022-12-04,2022,Round of 16,France,Poland,3,1,1.4,1.7,Qatar,True,False,False
2022-12-04,2022,Round of 16,England,Senegal,3,0,1.0,0.8,Qatar,True,False,False
2022-12-03,2022,Round of 16,Netherlands,United States,3,1,1.7,1.5,Qatar,True,False,False
2022-12-03,2022,Round of 16,Argentina,Australia,2,1,1.6,0.6,Qatar,True,False,False
2022-12-02,2022,Group stage,Korea Republic,Portugal,2,1,1.7,1.3,Qatar,True,False,False
2022-12-02,2022,Group stage,Ghana,Uruguay,0,2,1.6,1.8,Qatar,False,True,False
2022-12-02,2022,Group stage,Cameroon,Brazil,1,0,0.5,2.5,Qatar,True,False,False
2022-12-02,2022,Group stage,Serbia,Switzerland,2,3,1.3,2.7,Qatar,False,True,False
2022-12-01,2022,Group stage,Canada,Morocco,1,2,1.4,0.5,Qatar,False,True,False
